0THAI|ТАЙСЬКА
Yes, there you go.|Так, от і все.
As I was saying...|Як я вже казала...
Stay! ... Still...|...Постривай! ...
I am... too tired.|Я... надто втомилася.
Disable Cosmetic Ripples|Вимкнути косметичні брижі
save_file_error_continue|Продовження може вплинути на можливість збереження гри або призвести до втрати збережених даних. Дійсно продовжувати?
objecttype-ScavengerBomb|Бомба
creaturetype-GreenLizard|Зелений Ящір
creaturetype-WhiteLizard|Білий Ящір
creaturetype-BlackLizard|Чорний Ящір
creaturetype-GarbageWorm|Сміттєвик
creaturetype-TempleGuard|Вартовий
creaturetype-VultureGrub|Личинка Стерв'ятника
creaturetype-KingVulture|Королівський Стерв'ятник
Predator has become prey|Хижак став здобиччю
The Chieftain-linebreaks|Отаман
Here is a strange energy|Тут дивна енергетика
switch_pause_help_pickup|Натисніть, щоб підняти предмети
Change screen resolution|Змінити роздільну здатність екрану
Arena mode music volume:|Гучність музики арени:
switch_controls_movement|Лівий джойстик
switch_controls_hold_map|Утримувати клавішу R
Showing level thumbnails|Показувати мініатюри рівнів
ps4_fast_travel_map_help|Натисніть R1, щоб обрати притулок, з якого хочете продовжити
ps4_save_progress_failed|Помилка при зберіганні даних.
ps4_load_progress_failed|Дані збереження прогресу пошкоджені і будуть видалені.
mod_menu_load_order_down|Зливаючи зміни модів, застосовуйте цей мод раніше за інші. Таким чином можна розв'язати певні конфлікти між модами.
OpComboBox_MouseOpenTuto|Клацніть, щоб відкрити список
OpScrollBox_NonMouseTuto|Натисніть ПІДТВЕРДИТИ й скористайтеся джойстиком, щоб побачити більше
OpSimpleButton_MouseTuto|Натисніть мишею, щоб запустити
ModdingMenu_ControlThrow|Назад / Скасувати
MenuModStat_ModsDownpour|Готових модів:
Keep snails out of pipes|Утримання Равликів осторонь труб
Additional lizard voices|Додаткові голоси ящерів
Splashes alert creatures|Хлюпотіння привертає увагу істот
Disable shelter failures|Вимкнути збої притулків
Unlock all sandbox items|Розблокувати всі предмети Пісочниці
moreslugcats-description|Розширення з п'ятьма новими грабельними кампаніями, унікальними за своїм місцем у хронології. У цьому доповненні є нові регіони, істоти, предмети, музика, альтернативні кінцівки, нові ігрові режими та багато чого іншого.
...is this reaching you?|...чи сягає це тебе?
Oh, <PlayerName>. Hello!|О, <PlayerName>. Привіт!
Oh, <PlayerName>. Hello.|О, <PlayerName>. Привіт.
Oh... I will look at it.|О... Зараз подивлюся, що це.
Oh... I will take a look|О... Зараз подивлюся.
...rain... coming... Go!|...дощ... йде... Біжи!
...please... be still...|прошу... не рухайся...
Disable cosmetic ripple effects that appear in the vicinity of some warp locations|Вимкнути косметичні ефекти брижів, що з'являються поблизу деяких варп-локацій.
I do enjoy the company though. You're welcome to stay a while, quiet little thing.|Хоча, мені приємна компанія. Можеш ненадовго залишитися, тиха маленька істото.
Disable Player Ripple Trail|Вимкнути брижі
Complete the Hunter passage|Отримайте перехід Мисливця
Complete the Outlaw passage|Отримайте перехід Вбивці
Complete the Friend passage|Отримайте перехід Друга
Complete the Martyr passage|Отримайте перехід Мученика
Complete the Mother passage|Отримайте перехід Матері
objecttype-FirecrackerPlant|Запальний кущ
creaturetype-SmallCentipede|Мала багатоніжка
Four is enough to hibernate|Для сплячки достатньо чотирьох
invert_x_description_switch|Інвертувати горизонтальну вісь для аналогових джойстиків.
invert_y_description_switch|Інвертувати вертикальну вісь для аналогових джойстиків.
Player <X> will use gamepad|Гравець <X> використовуватиме ґеймпад
Player vs player deathmatch|Гравці б'ються насмерть
Play each level three times|Зіграти кожен рівень тричі
switch_fast_travel_map_help|Натисніть R, щоб обрати притулок, з якого хочете продовжити
OpComboBox_NonMouseOpenTuto|Натисніть ПІДТВЕРДИТИ, щоб відкрити список
OpKeyBinder_MouseSelectTuto|Клацніть, щоб змінити прив'язання клавіш
OpSlider_NonMouseAdjustTuto|Налаштуйте за допомогою джойстика, натисніть ПІДТВЕРДИТИ, щоб застосувати
OpColorPicker_MouseTypeTuto|Наберіть hex-код клавіатурою, щоб отримати бажаний колір
OpSimpleButton_NonMouseTuto|Натисніть ПІДТВЕРДИТИ, щоб активувати
MenuModStat_ConsoleExplain0|Це меню використовується для активування та конфігурування контенту Remix, щоб грати у Rain World по-новому.
MenuModList_ListButton_Stat|Відображає статистику встановлених модів
MenuModList_ListSlider_Desc|Утримуйте клавішею миші на колі і перетягуйте вгору/вниз, щоб прогортати список модів
MenuModList_SearchBox_Empty|Друкуйте для пошуку...
MenuModList_SearchBox_Query|Пошуковий запит:
Connector_ResetConfig_Alert|Налатшування моду <ModName> відновлені за замовчуванням
Arena creatures cannot flee|Створіння в арені не можуть втекти
Monk extra light assistance|Додаткове підсвітлення Ченця
Zero-gravity spear throwing|Жбурляння списів у невагомості
Unlock all arena characters|Розблокувати всіх персонажів Арени
Oh, it's you, <PlayerName>.|О, це ти, <PlayerName>.
Please... don't do... that.|Будь ласка... не роби... цього.
What is that, <PlayerName>?|Що це, <PlayerName>?
Want it back, <PlayerName>?|Хочеш забрати це назад, <PlayerName>?
Why should I tolerate this?|Чому я маю це терпіти?
As I tried to say to you...|Як я вже намагалася тобі сказати...
Disable the visual trail that follows the player once achieving higher ripple attunement|Вимкнути наочний слід, який супроводжує гравця після досягнення вищого рівня злагоди брижів
You cannot use PlayStation™Network features in this application due to age restrictions.|Ви не можете використувати PlayStation™Network у цьому застосунку через вікові обмеження.
The following cheats unlock content you would normally unlock via finding unlock tokens.|Наступні чити розблоковують контент, який зазвичай<LINE>отримується знаходженням розблокувальних токенів.
Disable Lightning Flashes|Вимкнути спалахи блискавки
backup_create_description|Збережіть поточні вмісти вашого збереження у якості нового бекапу.
backup_delete_description|Видалити обраний бекап зі списку бекап-збережень.
mod_menu_restoring_backup|Спроба відновлення даних збереження з бекапу...
ps4_load_save_slot_failed|Дані слоту збереження були пошкоджені і будуть видалені.
Complete the Monk passage|Отримайте перехід Ченця
Find a way to communicate|Знайдіть засіб порозумітися
creaturetype-YellowLizard|Жовтий Ящір
creaturetype-LanternMouse|Сяймиша
creaturetype-RedCentipede|Червона багатоніжка
One need not travel alone|Не треба подорожувати наодинці
You are hungry, find food|Ви зголодніли, знайдіть їжу.
invert_x_description_xbox|Інвертувати горизонтальну вісь для аналогових джойстиків.
invert_y_description_xbox|Інвертувати вертикальну вісь для аналогових джойстиків.
Switch to fullscreen mode|Ввімкнути режим на весь екран
OpDragger_NonMouseUseTuto|Налаштуйте за допомогою джойстик, натисніть ПІДТВЕРДИТИ, щоб затвердити величину
OpKeyBinder_MouseBindTuto|Натисніть клавішу, щоб прив'язати (ESC щоб відв'язати)
OpSlider_NonMouseGrabTuto|Натисніть ПІДТВЕРДИТИ, щоб взаємодіяти
OpHoldButton_NonMouseTuto|Утримуйте ПІДТВЕРДИТИ для активації
MenuModStat_ModsInterface|Увімкнених модів з користувацьким інтерфейсом Remix: <Number1> (Конфігурабельних: <Number2>)
Show underwater shortcuts|Відображання підводних проходів
Centipede pipe protection|Труби захищають від Багатоніжок
Threat music visual pulse|Візуальна пульсація музики загрози
Disable precycle flooding|Вимкнути завчасне затоплення
Unlock all safari regions|Розблокувати всі регіони режиму Сафарі
ps4_expedition_slot_title|Експедиція Rain World
ps4_expedition_core_title|Основа Експедиції Rain World
...thank you... better...|...дякую... так краще...
Tried to say... to you...|Намагалася... тобі... сказати...
Disable fullscreen flash and darkening effect that occurs when lightning strikes|Вимкнути повноекранні спалахи та ефекти затемнення, що виникають під час удару блискавки
Reduce Passive Rain Intensity|Зменшити інтенсивність пасивного дощу
Complete the Survivor passage|Отримайте перехід Вцілілого
Complete the Wanderer passage|Отримайте перехід Мандрівника
Five Pebbles (Memory Conflux)|П'ять Гальок (Відсік Пам'яті)
Hold to eat / swallow objects|Утримуйте, щоб з'їсти / заковтнути предмети
Configure controls for player|Налаштувати керування гравця
Standard items spawn on level|Звичайне розташування предметів на рівні
ps4_save_progress_description|Дані збереження прогресу Rain World {0}
OpColorPicker_NonMouseSliders|Рухай джойстиком ВГОРУ/ВНИЗ, щоб обрати, ВЛІВО/ВПРАВО, щоб налаштувати. Натисніть ПІДТВЕРДИТИ, щоб застосувати
OpScrollBox_MouseTutoSlidebar|Скористуйтеся коліщатком або смугою прокрутки, щоб побачити більше
ConfigMenuTab_BackButton_Desc|Повернутися до головного меню
ConfigMenuTab_SaveButton_Desc|Зберегти поточні конфігурації модів та повернутися
MenuModList_ModButton_Display|Показати <Mod>
MenuModList_ListButton_SwapUp|Натисніть, щоб завантажувати цей мод пізніше за моди нагорі
MenuModList_ListButton_SwapDw|Натисніть, щоб завантажувати цей мод раніше за моди внизу
MenuModList_ListButton_Expand|Розширте, щоб бачити мініатюри у списку модів
No stealing Hunter back-spear|Заборона цупити списи зі спини Мисливця
Scavenger kill squad leniency|Поблажливість вбивчих зграй сміттярів
Hide rain timer in safe areas|Приховування відліку дощу в безпеці
No randomized cycle durations|Невипадкова тривалість циклів
Rivulet Rain Timer Multiplier|Множник відліку дощу Струмка
Unlock the Outer Expanse gate|Розблокувати Зовнішні Простори
Steam manager not initialized|Менеджер Steam не ініціалізовано
This one again, <PlayerName>?|Знову ту саму, <PlayerName>?
Reduce the intensity of rain in regions where it appears as a cosmetic effect all cycle long|Зменшити інтенсивність дощу в регіонах, де він проявляється як косметичний ефект протягом усього циклу
Reduce Other Effects Density|Зменшити щільність інших ефектів
Everything comes full circle|Все робить повне коло
Great strides have been made|Досягнуто значних успіхів
Complete the Scholar passage|Отримайте перехід Ученого
Complete the Pilgrim passage|Отримайте перехід Паломника
creaturetype-BrotherLongLegs|Брат Довгоніг
creaturetype-SmallNeedleWorm|Дитинча Локшинниці
Press any button to continue|Натисніть будь-яку клавішу, щоб продовжити
A Bell, Eighteen Amber Beads|Дзвоник, Вісімнадцять Бурштинових Намистин
Two Sprouts, Twelve Brackets|Два Паростки, Дванадцять Підпор
The Dragon Slayer-linebreaks|Драконоборець
Three is enough to hibernate|Для сплячки достатньо трьох
Rain is coming! Find shelter|Дощ наближається! Знайдіть притулок
Score required to exit level|Потрібний для втечі з рівня рахунок
Always allow players to exit|Завжди дозволяє гравцям втекти з рівня
ps4_save_options_description|Дані збереження опцій Rain World
Reloading player progression|Перезавантаження прогресу гравця
OpKeyBinder_NonMouseBindTuto|Натисніть клавішу, щоб прив'язати (ПАУЗА, щоб відв'язати)
MenuModStat_ModTargetVersion|Цільова версія гри: <TargetVersion> (Поточна версія гри: <GameVersion>)
Artificer Explosion Capacity|Вибухова потужність Техніка
Unlock all sandbox creatures|Розблокувати всіх істот Пісочниці
Perhaps... I saw you before?|Можливо... я вже бачила тебе колись?
Oh... Should I look at that?|О... Хочеш, щоби я на це подивилася?
A gift for me, <PlayerName>?|Чи це подарунок мені, <PlayerName>?
Oh... Never mind, I suppose.|О... ну гаразд.
I will...not speak to you...|...я більше... з тобою не розмовлятиму...
Reduce the density and visibility of other effects like wind trails, stardust, floating debris, etc.|Зменшити щільність та помітність інших ефектів, таких як сліди вітру, зоряний пил, летючі уламки тощо.
Heavy VFX that may not be suited to those with sensitivity to flashing lights or prone to eye strain|Важкі візуальні ефекти, які можуть не підходити людям, чутливим до миготливого світла або схильним до перенапруження очей
Splashing in water can attract the attention of nearby creatures that hear the noise of the splashes|Хлюпотіння в воді може привернути увагу навколишніх істот, які почули його шум
Settings designed to make the game significantly easier, but may weaken the overall game experience.|Налаштування, пристосовані для суттєвого полегшення гри, за рахунок можливо послабленого досвіду гри загалом.
!\"#$%&'()*,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ\\_abcdefghijklmnopqrstuvwxyzÁáÉéÍíÑñÓóÚú®|!\"#$%&'()*,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ\\_abcdefghijklmnopqrstuvwxyzÁáÉéÍíÑñÓóÚú®
Reduce Floating Particles Density|Зменшити щільність летючих частинок
Droplets upon Five Large Droplets|Краплини на П'ятьох Великих Краплинах
Game Over - Press VIEW to restart|Гру закінчено ― натисніть клавішу ПЕРЕГЛЯД для перезапуску.
3 - CHOOSE PRESET OR BIND BUTTONS|3 - ОБЕРІТЬ ШАБЛОН АБО НАЛАШТУЙТЕ КЕРУВАННЯ
PICK UP button - Select shelter_1|Клавіша ВЗЯТИ — Обрати притулок
PICK UP button - Select shelter_2|Клавіша «Квадрат» — Обрати притулок
PICK UP button - Select shelter_3|Клавіша Y —  Обрати притулок
PICK UP button - Select shelter_4|Клавіша ВЛІВО — Обрати притулок
PICK UP button - Select shelter_5|Клавіша B —  Обрати притулок
OpKeyBinder_ErrorConflictOtherMod|Клавіша конфліктує з <AnotherModID>
OpKeyBinder_MouseJoystickBindTuto|Натисніть клавішу, щоб прив'язати (ESC щоб відв'язати, CTRL + Num щоб встановити номер контролеру)
ConfigContainer_AlertCopyCosmetic|Скопійовано <Text> до буферу обміну
ConfigMenuTab_BackHoldButton_Desc|Повернутися до головного меню (без застосування модів!)
Passage progress without Survivor|Прогрес переходів без Вцілілого
I will not speak to you any more.|Я більше з тобою не розмовлятиму.
Reduce the density of floating/falling particle effects like rot spores, Aether Ridge salt flakes, etc.|Зменшити щільність ефектів летючих/падаючих частинок, таких як спори Гнилі, крихти солі в Ефірному Кряжі тощо.
Less flashing lights, and the density of cosmetic visual effects is reduced to make gameplay more clear|Менше миготливих вогнів, щільність косметичних візуальних ефектів знижена, щоб зробити ігролад більш чітким.
Adds additional deer behavior, like being able to influence their behavior by wiggling in their antlers|Змінює поведінку дощових оленей і додає додаткові механіки, щоби впливати на їхні дії.
You better go, <PlayerName>! I will be fine.<LINE>It's not pleasant, but I have been through it before.|Тобі краще йти, <PlayerName>! Зі мною все буде добре.<LINE>Це неприємно, але я вже через це проходила.
Disable Fetid Glen Rainbow Grain|Вимкнути райдужну зернистість у Затхлій Долині
Followed your parental instincts|Ви прислухалися до батьківських інстинктів
Player <X> will use the keyboard|Гравець <X> використовуватиме клавіатуру
switch_controls_singlejoycon_map|Клавіша SR
Playing levels in selected order|Відтворення рівнів в обраному порядку
OpKeyBinder_ErrorConflictVanilla|Клавіша конфліктує з налаштуваннями керування за замовчуванням
OpKeyBinder_ErrorConflictCurrMod|Клавіша [<ConflictButton>] вже використовується
OpColorPicker_NonMouseModeSelect|Натисніть ПІДТВЕРДИТИ, щоб обрати режим
ConfigMenuTab_RevertButton_Label|НАЗАД
Scavenger corpses have max karma|Трупи сміттярів мають максимум карми
Unlock Developer Commentary mode|Розблокувати коментарі розробників
Please... thiss all I have left.|Благаю... це все, що в мене залишилося.
Ah... <PlayerName>, you're back!|А... <PlayerName>, ти повернувся!
Ah... <PlayerName>, you're back.|А... <PlayerName>, ти повернувся.
NO! I will...not speak to you...|НІ! Я не... розмовлятиму з тобою...
A new gift for me, <PlayerName>?|Чи це новий подарунок мені, <PlayerName>?
<CapPlayerName>, this one again?|<CapPlayerName>, знову ту саму?
Yes, take it and leave me alone.|Так, забери це й залиш мене вже в спокої.
I think the rain is approaching.|Здається, наближається дощ.
...leaving now? Don't... return.|...вже йдеш? Не... повертайся.
Remove the grainy effect that appears in the background of Fetid Glen areas|Усунути зернистий ефект, що з'являється на тлі місцин Затхлої Долини
Go explore! There is food and shelter to be found, but beware of predators.|Вирушайте досліджувати! Там знайдеться їжа та притулки, але остерігайтеся хижаків.
Prevents underwater shortcut symbols from being obscured by the water layer|Заважає приховуванню символів проходів шаром води
Changes the amount of bonus cycles Hunter can receive during their campaign|Змінює кількість бонусних циклів, які може отримати Мисливець протягом своєї кампанії
The current session playtime will always be visible as a UI element in-game|Ваш загальний внутрішньоігровий час на персонажі відображатиметься як елемент користувацького інтерфейсу протягом його кампанії.
This option significantly decreases the difficulty of Artificer's campaign.|Ця опція суттєво понижує складність кампанії Техніка.
Your account is in read-only mode due to a recent password or email change.|Ваш обліковий запис в режимі тільки для читання через нещодавню зміну пароля чи поштової адреси.
These settings adjust the density of VFX for visual accessibility needs.|Ці налаштування регулюють щільність візуальних ефектів для потреб візуальної доступності.
Show tutorial messages for Watcher's mechanics during the story campaign|Відображувати навчальні повідомлення механік Спотерігача в його кампанії
Stops Scavengers from being able to steal the spear off of Hunter's back|Позбравляє сміттярів можливості цупити списи зі спини Мисливця.
Allow throwing spears upwards during a backflip in addition to downwards|Додаткові опції напрямів і засобів жбурляння речей за деяких обставин
REDUCED|ЗНИЖЕНИЙ
MINIMAL|МІНІМАЛЬНИЙ
Special|Спеціальна
RESTORE|ВІДНОВИТИ
BACKUPS|БЕКАПИ
No data|Нема даних
Closure|Завершення
REGIONS|РЕГІОНИ
OPTIONS|ОПЦІЇ
The Leg|Опора
CREDITS|ТИТРИ
ENGLISH|АНГЛІЙСЬКА
ITALIAN|ІТАЛІЙСЬКА
SPANISH|ІСПАНСЬКА
RUSSIAN|РОСІЙСЬКА
CHINESE|КИТАЙСЬКА
GAMEPAD|ҐЕЙМПАД
Hold R1|Утримувати R1
Options|OPTIONS
Hold RB|Утримувати RB
minutes|хв.
No rain|Без дощу
Survive|Виживання
Winner!|Переможець!
RESTART|ПЕРЕЗАПУСТИТИ
PASSAGE|ПЕРЕХІД
Quits :|Виходів:
Ranking|Рейтинг
Profile|Профіль
In Game|У Грі
In Menu|У Меню
Version|Версія
General|Загальне
Presets|Шаблони
CLASSIC|КЛАСИКА
RELAXED|НЕВИМУШЕНИЙ
Assists|Допомога
Failure|Несправність
...you.|...ти.
Please!|Будь ласка!
Some cosmetic visual effects are disabled entirely, and many others are significantly reduced|Деякі косметичні візуальні ефекти повністю вимкнені, а чимало інших суттєво понижено
Close Map Button|Клавіша Мапа — Закрити мапу
Enable tutorials|Ввімкнути навчання
Follow the guide|Слідуйте за вказівками
objecttype-Spear|Спис
creaturetype-Fly|Кажан
Select save slot|Обрати слот збереження
Movement Buttons|Клавіші Руху
Shuffling levels|Перетасування рівнів
Playing in order|Відтворення рівнів по порядку
rounds per level|раундів на рівень
Random creatures|Випадкові істоти
Trophy Collector|Збирач Трофеїв
Press ? to start|Натисніть ?, щоб почати
mod_menu_restart|Ввімкнені моди потребують перезапуску гри. Натисніть продовжити і запустіть гру знову.
Applying Changes|Застосування змін
Vulture darkness|Стерв'ятники в темряві
Vanilla exploits|Ванільні експлойти
Aggressive Saint|Агресивний Святий
Gameplay Assists|Ігроладна допомога
Generic failure.|Загальна несправність.
remix_dlc_launch|Виявлено нове доповнення! Встановлені доповнення можна знайти та активувати в меню РЕМІКСУ.
remix_dlc_locked|Для активації цього контенту необхідно придбати додаткове доповнення.
...yes... leave.|...так... йди.
You... are back.|Ти... повернувся.
Little tormentor|Маленький мучителю
Unlock Hunter campaign|Розблокувати кампанію Мисливця
backup_restore_confirm|ДАНІ ПОТОЧНОГО ЗБЕРЕЖЕННЯ БУДУТЬ ВИЛУЧЕНІ!<LINE><LINE>Вибирання відновлення перезапише дані УСІХ слотів збережень вмістом цього бекапу.<LINE>Ця дія невиправна та незворотня.<LINE><LINE>Ви впевнені, що хочете перезаписати дані поточного збереження даними від {X}?
backup_restore_success|Дані збереження з {X} були відновлені.
backup_info_disclaimer|(Зображені тут дані залежать від наразі встановлених модів.<LINE>Тут може бути додаткова інформація з модів, які зараз вимкнені)
A final charitable act|Останній благодійний вчинок
Path of self-sacrifice|Шлях самопожертви
objecttype-VultureMask|Маска Стерв'ятника
objecttype-DangleFruit|Сине-фрукт
objecttype-KarmaFlower|Кармоцвіт
objecttype-BubbleGrass|Бульбашковик
creaturetype-RedLizard|Червоний Ящір
creaturetype-PoleMimic|Жердинник
creaturetype-MirosBird|Лезоптиця
creaturetype-Centipede|Багатоніжка
creaturetype-Centiwing|Крилоніжка
creaturetype-Scavenger|Сміттяр
creaturetype-BigSpider|Великий павук
Stronger climbing grip|Міцніший захват під час лазання
Path of the vegetarian|Шлях вегетаріанця
The Scholar-linebreaks|Учень
The Journey-linebreaks|Подорож
switch_tutorial_crouch|Коротко затисніть ВНИЗ аби присісти навпочіпки
Tap to pick up objects|Натисніть, щоб підняти предмети
Test your new controls|Перевірка нових налаштувань керування
switch_controls_pickup|Клавіша Y
switch_region_map_help|Натисніть R, щоб переглянути регіональну мапу
Sandbox item unlocked:|Розблоковано елемент Пісочниці:
ps4_save_options_title|Опції Rain World
mod_menu_load_order_up|Зливаючи зміни модів, застосовуйте цей мод пізніше за інші. Таким чином можна розв'язати певні конфлікти між модами.
OpSlider_MouseTutoHrzt|Утримуйте клавішею миші та тягніть вліво або вправо для налаштування величини.
OpSlider_MouseTutoVrtc|Утримуйте клавішею миші та тягніть вгору або вниз для налаштування величини
OpTextBox_NonMouseTuto|Елемент не можна модифікувати за допомогою контролера
OpHoldButton_MouseTuto|Утримуйте мишею, щоб запустити
ModdingMenu_ControlMap|Переглянути керування
MenuModStat_ModsRegion|Увімкнених модів на регіони: <Number>
MenuModList_SwapFailed|Не можна завантажити потрібний мод перед модами, від яких він залежить
OIError_Message_Update|При роботі OptionInterface виникла помилка.
New dynamic difficulty|Нова динамічна складність
Legacy tongue controls|Традиційне керування язиком
Upwards spear throwing|Додаткові траекторії жбурляння
Quieter gates/shelters|Тихіші брами/притулки
Faster shelter opening|Прискорене відчинення притулків
Pull spears from walls|Витягування списів зі стін
Unlock all collections|Розблокувати всі колекції
expedition-description|Вирушайте в Експедицію в цьому новому складному режимі гри. Виконуйте випадкові завдання, уникаючи остаточної загибелі, і працюйте над розблокуванням нових корисних бонусів, суворих тягарів і музичних треків для програвання в Програвачі.
Please leave me alone.|Будь ласка, залиш мене в спокої.
That... Oh, thank you.|Це... О, дякую.
...don't... come back.|...не... повертайся.
Oh... You are leaving.|О... Ти йдеш.
Good bye, I suppose...|Ну прощавай, напевно...
Unlock Watcher arena character|Розблокувати персонажа Спостерігача в арені
ps4_load_save_slot_load_failed|Не вдалося завантажити слот збереження. Код помилки: {ERROR}
ps4_load_expedition_run_failed|Не вдалося завантажити поточні дані Експедиції. Код помилки: {ERROR}
You have found another way out|Ви знайшли інший вихід
Complete the Chieftain passage|Отримайте перехід Отамана
Complete the game as The Saint|Пройдіть гру за Святого
This land has become your home|Цей край став вашою домівкою
switch_pause_help_switch_hands|Натисніть двічі, щоб перекласти предмети в руках
Playing levels in random order|Відтворення рівнів у випадковому порядку
OpKeyBinder_NonMouseSelectTuto|Натисніть СТРИБАТИ, щоб змінити прив'язання клавіш
ConfigMenuTab_ApplyButton_Desc|Застосувати наразі обрані моди
ConfigMenuTab_BackButton_Label|ВИЙТИ
ConfigMenuTab_SaveButton_Label|ЗАСТОСУВАТИ
ConfigMenuTab_ResetButton_Desc|Скинути поточні конфігурації модів
No Hunter batfly auto-grabbing|Мисливець не хапає кажанів автоматично
Disable all karma requirements|Відключення кармічних вимог
Saint environmental protection|Захист Святого від довкілля
mod_workshop_upload_buttondesc|Вивантажити обраний мод до Майстерні Steam
It's you, <PlayerName>. Hello.|Це ти, <PlayerName>. Привіт.
NO! ... no. Let it go, please.|НІ! ... ні. Відпусти його, будь ласка.
You... brought that... for me?|Ти... приніс це... мені?
And now you're taking it back.|А тепер ти забираєш це назад.
Please. Be still for a moment.|Будь ласка. Почекай трішки.
<CapPlayerName>... Never mind.|<CapPlayerName>... Ну нехай.
Special Button|Клавіша Спеціальна
A Helping Hand|Рука Допомоги
mod_menu_error|Не вдалося застосувати моди через наступну помилку:
Garbage Wastes|Сміттєзвалище
Shaded Citadel|Затінена Цитадель
Chimney Canopy|Димар
Unknown Region|Невідомий Регіон
Scavenger Toll|Застава Сміттярів
RESET PROGRESS|СКИНУТИ ПРОГРЕС
Input Settings|Керування
